,Unnamed: 0,Name,Size,Role,SCM(m/s),Boost(m/s),SCU(kg),Crew min,Crew max,Length(m),Beam(m),Height(m),Mass(kg),Status,Manufacturer,Patch release,Cost (Dollars)
89,89,Hull D,Capital,Heavy Freight,68,771,"6,144",3,5,209,70,70,1216000,Announced,MISC,,450
90,90,Hull E,Capital,Heavy Freight,67,770,"8,192",4,5,372,104,104,1652000,Announced,MISC,,750
91,91,Hurricane,Small,Heavy Fighter,265,1125,0,2,2,22,14.5,6,86454,Flight Ready,ANVL,,195
92,92,Idris-K,Capital,Frigate,47,1462,995,8,28,242,126,46,37755400,Announced,AEGS,TBA,300
93,93,Idris-M,Capital,Frigate,44,1462,831,8,28,242,126,46,37866540,Production,AEGS,TBA,1000
94,94,Idris-P,Capital,Frigate,46,1462,995,8,28,233,126,46,37310200,Announced,AEGS,TBA,1500
95,95,Javelin,Capital,Destroyer,203,1200,5400,12,80,480,198,72,109860179,Production,AEGS,TBA,3000
96,96,Khartu-Al,Small,Light Fighter,300,1325,0,1,1,31.5,12.5,8.5,67115,Flight Ready,AOPA,,170
97,97,Kingship,Capital,Fleet Carrier,51,899,4000,1,1400,"3,000",1180,670,2800001,Production,VNCL,,n/a
98,98,Kraken,Capital,Multi-Role - Light Carrier,64,997,3792,1,10,270,104,64,35655400,Announced,DRAK,TBA,1650
99,99,Kraken Conversion Kit,Capital,Multi-Role - Light Carrier,63,996,3792,1,10,270,104,64,35655400,Announced,DRAK,TBA,350
100,100,Kraken Privateer,Capital,Multi-Role - Light Carrier,62,995,768,1,10,270,104,64,35655400,Announced,DRAK,TBA,2000
101,101,Liberator,Large,Transporter,115,970,400,1,2,119,67,25,2600820,Announced,ANVL,,575
102,102,M2 Hercules Starlifter,Large,Transport Military,130,962,522,1,3,94,70,23,3139240,Flight Ready,CRSD,,520
103,103,M50,Small,Racing,330,1345,0,1,1,11,10,3,10580,Flight Ready,ORIG,?,100
104,104,MOLE,Medium,Prospecting and Mining,127,1089,288,1,4,45,25,15,1169686,Flight Ready,ARGO,,315
105,105,MOLE Carbon,Medium,Prospecting and Mining,128,1091,288,1,4,45,25,15,1169686,Flight Ready,ARGO,,275
106,106,MOLE Talus,Medium,Prospecting and Mining,129,1092,288,1,4,45,25,15,1169686,Flight Ready,ARGO,,275
107,107,MPUV Cargo,Snub,Light Freight,159,891,2,1,1,9.5,8.5,4.3,12187,Flight Ready,ARGO,,35
108,108,MPUV Personnel,Snub,Passenger,158,920,0,1,1,9.3,8.5,4.3,12307,Flight Ready,ARGO,,40
109,109,Mantis,Small,Military;Stealth,168,1220,0,1,1,30,17,8,225621,Flight Ready,RSI,,150
110,110,Merchantman,Large,Heavy Freight,201,1150,2880,4,8,160,160,65,9635000,Production,SOUL,,650
111,111,Mercury Star Runner,Medium,Medium Cargo;Medium Data,216,1287,114,2,3,56,51,16,1633722,Flight Ready,CRSD,,260
112,112,Mustang Alpha,Small,Cargo,257,1160,4,1,1,21.5,18,9,32970,Flight Ready,CNOU,?,30
113,113,Mustang Alpha Vindicator,Small,Starter;Light Freight,256,1167,4,1,1,17.5,15.5,5.5,32970,Flight Ready,CNOU,?,30
114,114,Mustang Beta,Small,Pathfinder,253,1215,0,1,1,21.5,18,9,39610,Flight Ready,CNOU,?,40
115,115,Mustang Delta,Small,Light Fighter,240,1225,0,1,1,21,18,9,37345,Flight Ready,CNOU,,65
116,116,Mustang Gamma,Small,Racing,322,1344,0,1,1,21.5,18,9,30263,Flight Ready,CNOU,?,55
117,117,Mustang Omega,Small,Racing,326,1340,0,1,1,21.5,18,9,30263,Flight Ready,CNOU,?,350
118,118,Nautilus,Large,Minelayer,115,956,64,4,8,125,72,21.6,13526320,Announced,AEGS,TBA,725
119,119,Nautilus Solstice,Large,Minelayer,116,958,64,4,8,125,72,21.6,13526320,Announced,AEGS,TBA,725
120,120,Nomad,Small,Light Freight,180,1171,24,1,1,26.5,18.3,9.2,228123,Flight Ready,CNOU,,80
121,121,Odyssey,Large,Expedition,72,950,252,1,6,140,90,35,453823,Announced,MISC,,700
122,122,Orion,Capital,Heavy Mining,91,991,384,4,7,170,50,50,26496000,Announced,RSI,TBA,575
123,123,P-52 Merlin,Snub,Snub Fighter,270,1030,0,1,1,12,7.7,2.2,8493,Flight Ready,KRIG,,25
124,124,P-72 Archimedes,Snub,Racing,252,1343,0,1,1,12,7.7,2.2,8290,Flight Ready,KRIG,Alpha 3.6.0,35
125,125,P-72 Archimedes Emerald,Snub,Racing,251,1348,0,1,1,12,7.7,2.2,8290,Flight Ready,KRIG,Alpha 3.10.0,40
126,126,Pegasus,Capital,Escort Carrier,61,900,2000,1,25,147,45,28,32400000,Production,RSI,,n/a
127,127,Perseus,Large,Gunship,92,1120,50,6,6,100,50,21,3560000,Concept,RSI,TBA,675
128,128,Pioneer,Capital,Heavy Construction,85,980,600,4,8,200,125,30,32400000,Announced,CNOU,TBA,850
129,129,Pirate Gladius,Small,Light Fighter,207,1235,0,1,1,20,17,5.5,57685.06,Flight Ready,AEGS,,110
130,130,Polaris,Capital,Corvette,120,1099,216,6,14,155,82,35,17155000,Concept,RSI,TBA,750
131,131,Prospector,Small,Prospecting and Mining,200,1210,0,1,1,24,15,7,146117.98,Flight Ready,MISC,,155
132,132,Prowler,Medium,Dropship,178,1116,0,2,2,34,33,15,171700,Flight Ready,ESRA,Alpha 3.9.0,440
133,133,RAFT,Medium,Medium Freight,134,839,96,1,2,39.5,23,12,1183477.88,Flight Ready,ARGO,,125
134,134,Railen,Medium,Cargo,120,1090,320,1,4,54,52,67,224230,Concept,GAMA,,225
135,135,Razor,Small,Racing,335,1341,0,1,1,11.5,8.2,2.7,10925,Flight Ready,MISC,Alpha 3.1.0,145
136,136,Razor EX,Small,Stealth,325,1340,0,1,1,11.5,8.2,2.7,10925,Flight Ready,MISC,?,155
137,137,Razor LX,Small,Luxury,340,1346,0,1,1,11.5,8.2,2.7,10925,Flight Ready,MISC,?,150
138,138,Reclaimer,Large,Heavy Salvage,102,939,180,4,5,155,118,50,9500158,Flight Ready,AEGS,Alpha 3.1.0,400
139,139,Reclaimer Best In Show Edition,Large,Heavy Salvage,101,930,180,4,5,155,118,50,9500158,Flight Ready,AEGS,?,400
140,140,Redeemer,Medium,Gunship,139,959,2,3,4,37.5,19.5,11,473296.41,Flight Ready,AEGS,,325
141,141,Reliant Kore,Small,Starter;Light Freight,220,1126,6,1,2,14.5,28.5,4,38566,Flight Ready,MISC,Alpha 2.5.0,65
142,142,Reliant Mako,Small,Reporting,164,1151,0,1,2,14.5,28.5,4,38566,Flight Ready,MISC,Alpha 3.5.0,95
143,143,Reliant Sen,Small,Light Science,163,1190,2,1,2,14.5,28.5,4,38566,Flight Ready,MISC,Alpha 3.5.0,85
144,144,Reliant Tana,Small,Light Fighter,162,1180,1,1,2,14.5,28.5,4,38566,Flight Ready,MISC,,75
145,145,Retaliator Base,Large,Heavy Bomber,185,815,0,4,7,69.5,42.5,12.5,300392,Production,AEGS,TBA,150
146,146,Retaliator Bomber,Large,Heavy Bomber,145,814,0,4,7,69.5,42.5,12.5,348634.34,Flight Ready,AEGS,,275
147,147,SRV,Small,Industrial;Civilian,200,1215,10,1,1,28.5,19.5,8.7,231680,Announced,ARGO,TBA,150
148,148,Sabre,Small,Stealth Fighter,275,1226,0,1,1,24,26,5,92235.71,Flight Ready,AEGS,,170
149,149,Sabre Comet,Small,Stealth Fighter,215,1236,0,1,1,24,26,5,78513,Flight Ready,AEGS,Alpha 2.6.0,185
150,150,Sabre Raven,Small,Interdiction,276,1237,0,1,1,24,20.5,5,69433,Flight Ready,AEGS,Alpha 3.0.0,1500
151,151,San'tok.yāi,Medium,Medium Fighter,265,1265,0,1,1,24,23,10,106566,Concept,AOPA,TBA,220
152,152,Scorpius,Small,Heavy Fighter,218,1250,0,1,2,24.5,33,13.2,97562,Production,RSI,,240
153,153,Scythe,Small,Medium Fighter,194,1245,0,1,1,31,23,8.5,73941.98,Flight Ready,[[Vanduul Clans (originally)Esperia (human conversion)]],,300
154,154,Scythe (vanduul),Small,Medium Fighter,193,1237,0,1,1,31,23,8.5,73942,Production,VNCL,,300
155,155,Starfarer,Large,Heavy Refuelling,85,867,291,4,8,101,46.5,23.5,3510025,Flight Ready,MISC,,300
156,156,Starfarer Gemini,Large,Heavy Refuelling,84,856,291,4,6,101,46.5,23.5,3517864,Flight Ready,MISC,,340
157,157,Talon,Small,Light Fighter,252,1223,0,1,1,20,18,5,60836.04,Flight Ready,ESRA,,115
158,158,Talon Shrike,Small,Light Fighter,251,1224,0,1,1,20,18,5,60836.04,Flight Ready,ESRA,,115
159,159,Terrapin,Small,Pathfinder,210,1205,0,1,1,19.5,14.5,6,172377.97,Flight Ready,ANVL,Alpha 3.1.0,220
160,160,Valkyrie,Small,Military;Industrial,165,1101,30,1,5,38,28,9.5,75000,Flight Ready,ANVL,Alpha 3.3.0,375
161,161,Valkyrie Best in Show 2950 Edition,Small,Military;Industrial,167,1102,30,1,5,38,28,9.5,75000,Flight Ready,ANVL,Alpha 3.11.1,375
162,162,Valkyrie Liberator Edition,Small,Military;Industrial,166,1103,30,1,5,38,28,9.5,75000,Flight Ready,ANVL,?,375
163,163,Vanguard Harbinger,Medium,Bomber,171,1022,0,2,2,38,26.5,9.5,240092,Flight Ready,AEGS,,290
164,164,Vanguard Hoplite,Medium,Dropship,230,1020,0,2,2,38,26.5,9.5,229440,Flight Ready,AEGS,Alpha 2.6.0,235
165,165,Vanguard Sentinel,Medium,Interdiction,231,1022,0,2,2,38,26.5,9.5,238616,Flight Ready,AEGS,Alpha 3.7.0,275
166,166,Vanguard Warden,Medium,Heavy Fighter,225,1115,0,2,2,38,26.5,9.5,256409.25,Flight Ready,AEGS,Alpha 2.1.0,260
167,167,Void,Large,Heavy Bomber,83,907,0,1,5,124,90,33,106460,Production,VNCL,,n/a
168,168,Vulcan,Medium,Medium Repair;Medium Refuel,211,1180,12,1,3,38.5,16.5,10,625330,Announced,AEGS,TBA,200
169,169,Vulture,Small,Light Salvage,165,1215,12,1,1,33,16,9,114591,Production,DRAK,TBA,140
